"uniquekeys","statelgafac","statecodes","lgacodes","distrcodes","facnames","addresss","questnums","reasons","designats","designats_2","ifotherspe","gender","age","educations","whoemploye","n15other","gradelevel","curgrade","primaryhea","workfacs","previously","indigene","farawayfac","time","time_2","gettowork","n116oth","havespouse","living","howfar","pays","n211oth","monthsal","months","salarylate","healthcare","medicines","schooling","housing","food","supplement","agric","petty","clinic","home","sellmed","other","n217oth","week","services","health","vacntime","vacnday","vacwdecide","arintime","arinday","ariwdecide","diatime","dianday","diawdecide","malntime","malnday","malwdecide","nutntime","nutnday","nutwdecide","matntime","matnday","matwdecide","fpntime","fpnday","fpwdecided","drugntime","drugnday","drugwdecid","stintime","stinday","stiwdecide","othntime","othnday","othwdecide","n221oth","days","outp","deliveries","inp","imm","antenatals","family","educa","inspection","laborators","admin","nonhealth","equipment","staffass","strike","strikelast","criterion","peoplelivi","house","bicycle","motorbike","car","boat","toilet","n314oth","purpose","times","discussed","referred","seeing","training","consider","attend","worker","diagnosis","tell","adjust","send","staffmeets","advice","whatother","n4111oth","notapplic","opinion","opinion_2","n4112oth","engaging","engaging_2","engaging_3","n4113oth","recstatus","salnopay"
108,10514,1,5,"AVRUGO HEALTH DISTR",14,"-DO=",29,1.79769313486232e+308,5,5,"",2,38,3,2,"",1,8,12,0,1,2,0,0.0199999995529652,0.0333333313465118,1,"",1,1,1.79769313486232e+308,3,"",18000,6,0,2,2,2,1,2,1,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",2,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,5,3,2,1,2,1.79769313486232e+308,2,1.79769313486232e+308,1,1,0,2,2,1,1,2,0,5,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"REVEALING SECRET",3,3,2,"",1,6
109,10503,1,5,"AJAKA WARD I",3,"PHC OFULORO AJAKA WARRD I",30,1.79769313486232e+308,5,5,"",1,27,2,2,"",3,9,11,4,1,2,0,0,0,1,"",1,2,3,3,"",21000,12,0,2,2,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,8,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,2,2,1.79769313486232e+308,1,2,2,1,2,1.79769313486232e+308,1,5,6,1,1,2,2,1,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,0,2,1,1,2,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,1,"",3,3,2,"",1,0
110,10516,1,5,"AJAKA 1",16,"PHC IBOCHI OLANEKPA",31,1.79769313486232e+308,5,5,"",1,34,3,2,"",3,8,11,1,1,1,0,0.0500000007450581,0.0833333358168602,1,"",1,1,1.79769313486232e+308,3,"",19500,12,1,2,2,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,"",0,1.79769313486232e+308,0,4,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",7,1,2,1,2,2,2,1,2,2,2,2,2,1,2,0,3,5,3,2,1,2,2,2,1.79769313486232e+308,1,0,3,0,2,2,1,2,0,1,1,1,2,1,1,2,"",1.79769313486232e+308,2,2,"",3,3,2,"",1,0
111,10612,1,6,"UGWODA",12,"UGWODA",1,1.79769313486232e+308,5,5,"",1,34,3,2,"",1,7,13,0,0,2,0,0,0,1,"LIVE WITHIN FACILITY",1,2,10,3,"",17620,2,9,2,2,2,1,2,1,1,2,2,2,1,1.79769313486232e+308,"",0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1.79769313486232e+308,1,8,6,2,1,1,2,2,1.79769313486232e+308,1,0,0,3,2,6,1,6,0,1,1,2,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,6,6,"ABSENCE FROM DUTY",3,3,2,"",1,10
112,10612,1,6,"UGWODA HEALTH CENTRE",12,"UGWODA IN CARE OF IDAH LG",2,1.79769313486232e+308,8,8,"",1,35,3,2,"",3,6,11,0,1,2,0,0,0,1,"LIVES IN THE FACILIT",1,2,10,3,"",13520,9,3,1,1,2,1,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,10,3,2,7,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,8,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1.79769313486232e+308,3,9,6,1,1,2,2,2,1.79769313486232e+308,1,3,1.79769313486232e+308,1.79769313486232e+308,2,5,2,7,1.79769313486232e+308,1,1,1,1,1,1,2,"",2,6,9,"TAKING ALCHOL",4,4,2,"",1,3
113,10602,1,6,"UKWAJO DISTRICT",2,"IDAH",3,1.79769313486232e+308,5,5,"",2,35,3,2,"",1,9,18,0,0,1,1,0.200000002980232,0.333333343267441,3,"",1,1,1.79769313486232e+308,3,"",19000,9,9,1,2,2,2,2,1,2,1,2,1,1,1.79769313486232e+308,"",5,1,0,3,6,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,10,8,2,1,2,2,2,1.79769313486232e+308,1,0,2,2,2,1,1,2,1.79769313486232e+308,2,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,2,2,"",4,4,2,"",1,3
114,10602,1,6,"UKWAFA HEALTH DISTRI",2,"IDAH",4,1.79769313486232e+308,5,5,"",2,36,3,2,"",1,9,18,3,1,2,0,0.100000001490116,0.16666667163372,3,"",1,1,1.79769313486232e+308,3,"",20000,9,9,1,2,2,2,2,1,2,1,2,1,2,1.79769313486232e+308,"",2,1,0,3,21,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,21,3,1,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,1,10,3,2,1,2,2,2,1.79769313486232e+308,1,2,3,5,2,2,1,3,0,2,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,3
115,10603,1,6,"MISSION  2",3,"FSP PHC IDAH",5,1.79769313486232e+308,5,5,"",2,30,3,2,"",6,9,10,0,1,2,1,0.100000001490116,0.16666667163372,1,"",1,1,1.79769313486232e+308,3,"",22000,10,0,1,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,3,3,2,2,1,2,2,1.79769313486232e+308,1,5,3,1,2,2,1,12,0,5,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,2
116,10603,1,6,"MISSION 2",3,"FSP PHC UKWAJA",6,1.79769313486232e+308,4,4,"",2,45,3,2,"",6,12,7,5,0,1,1,0.0500000007450581,0.0833333358168602,2,"",1,1,1.79769313486232e+308,3,"",26000,10,0,1,1,2,2,2,1,2,2,2,1,2,1.79769313486232e+308,"",5,1,0,2,10,3,3,8,3,1,5,3,1,4,3,1,7,1,1,2,3,2,10,3,2,8,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,3,1.79769313486232e+308,3,2,1,2,2,2,1.79769313486232e+308,1,5,2,5,2,2,1,10,0,2,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,2
117,10604,1,6,"OWOLIAPA",4,"PHC ONAH IDAH",7,1.79769313486232e+308,5,5,"",2,45,3,2,"",2,8,24,2,5,1,0,0.100000001490116,0.16666667163372,3,"",1,1,1.79769313486232e+308,3,"",15000,10,1,2,2,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,6,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1.79769313486232e+308,1,10,3,2,1,2,2,2,1.79769313486232e+308,1,2,0,0,2,1,1,10,0,1,2,1,2,2,1,2,"",2,1,1,"",3,3,2,"",1,2
118,10605,1,6,"EDEKE HEALTH CENTRE",5,"PHC UGBETUKU, IDAH LGA",8,1.79769313486232e+308,5,5,"",1,31,3,2,"",4,8,11,1,0,2,5,0.150000005960464,0.25,5,"",1,1,1.79769313486232e+308,3,"",18600,1,11,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,0,4,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"ONCHOCEREIASIS",5,1,2,2,2,2,2,1,1,2,1,2,2,1,1,2,3,6,2,2,2,2,2,2,1.79769313486232e+308,1,2,2,2,2,2,1,2,0,5,2,1,2,2,1,1.79769313486232e+308,"",1.79769313486232e+308,6,7,"WRONG DIAGNOSIS",3,3,2,"",1,11
119,10606,1,6,"EDEKE WARD",6,"AS ABOVE",9,1.79769313486232e+308,6,6,"",2,45,5,2,"",1,5,13,3,0,2,0,0.300000011920929,0.5,1,"",1,1,1.79769313486232e+308,3,"",12200,11,0,2,2,2,2,2,1,2,1,2,1,1,2,"",1,1,0,2,2,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,1.79769313486232e+308,1.79769313486232e+308,2,2,2,1,1,2,1,2,2,1,1,0,3,15,8,2,2,1,2,2,1.79769313486232e+308,1,0,1,1,1,1,1,2,1,3,1,1,2,1,1,2,"",2,1,1,"",3,3,2,"",1,1
120,10607,1,6,"UGWODA DISTRICT",7,"ALOKOEING, IDAH LGA",10,1.79769313486232e+308,6,6,"",1,28,3,2,"",3,6,10,3,0,2,6,1.20000004768372,1.33333337306976,1,"",1,1,1.79769313486232e+308,3,"",12200,2,9,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,8,2,2,2,2,2,3,1.79769313486232e+308,1,0,0,0,2,6,1,1,0,1,1,2,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,6,6,"COMING TO DUTY",6,6,3,"",1,10
121,10611,1,6,"OGEGELE  WARD",11,"PHC EFULU IDAH LGA",11,1.79769313486232e+308,5,5,"",1,30,2,2,"",3,3,10,0,0,2,0,0.100000001490116,0.16666667163372,1,"",2,1.79769313486232e+308,1.79769313486232e+308,3,"",7800,10,10,2,2,1.79769313486232e+308,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,12,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1.79769313486232e+308,1,1,2,1,2,2,2,2,1.79769313486232e+308,2,1.79769313486232e+308,1.79769313486232e+308,1,2,1,1,0,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,2
122,10609,1,6,"UGWODA",9,"PHC ADUMU IDAH  LGA",12,1.79769313486232e+308,5,5,"",1,30,3,2,"",3,8,11,0,0,1,0,0,0,1.79769313486232e+308,"",1,2,15,3,"",18395,2,1,2,2,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,2,10,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,3,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,3,"ONCHOCERISASIS",7,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1.79769313486232e+308,3,6,4,1,1,2,2,2,1.79769313486232e+308,1,5,1,2,1,4,1,4,1.79769313486232e+308,1,1,1,2,1,1,2,"",2,6,7,"NOT ATTENDING TO PAT",3,3,2,"",1,10
123,10610,1,6,"EDEKE HEALTH DISTRIC",10,"",13,1.79769313486232e+308,5,5,"",1,42,3,1,"",3,8,20,0,1,2,0,0.0199999995529652,0.0333333313465118,1,"",1,1,1.79769313486232e+308,3,"",18200,11,11,2,2,2,1,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,1.79769313486232e+308,4,21,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,3,"ONCHOCERISASIS",5,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,3,10,4,2,1,2,2,3,1.79769313486232e+308,1,2,2,2,2,2,1,4,0,5,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,1
124,10701,1,7,"IJUMU ARIN",1,"IFFE IJUMU HEALTH CENTRE",1,1.79769313486232e+308,6,6,"",2,31,3,2,"",2,6,9,5,0,1,0,0.0299999993294477,0.0499999970197678,1,"",1,1,1.79769313486232e+308,3,"",10000,4,4,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,12,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",7,1,2,2,2,1,2,1,2,2,2,2,2,1,1,0,3,4,1,2,2,2,2,1,1.79769313486232e+308,1,8,1,0,2,2,1,3,0,3,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,8
125,10701,1,7,"IFFE",1,"IFFE/IJUMU",2,1.79769313486232e+308,5,5,"",2,40,1,5,"",3,12,20,3,3,2,0,0.00999999977648258,0.0166666656732559,2,"",1,1,1.79769313486232e+308,3,"",30000,4,4,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",0,1.79769313486232e+308,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"",5,1,1,1,1,1,2,1,2,2,1,2,2,1,1,0,3,8,4,2,1,2,2,1,1.79769313486232e+308,1,6,3,0,2,2,1,10,2,3,2,1,2,2,1,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,8
126,10703,1,7,"BANWO HEALTH CLINIC",3,"BANWO HEALTH CENTRE",3,1.79769313486232e+308,5,5,"",2,30,3,5,"",1.79769313486232e+308,1.79769313486232e+308,4,4,0,2,1,0.150000005960464,0.25,1,"",2,1.79769313486232e+308,1.79769313486232e+308,8,"OWNER OF THE FACILIT",6000,12,12,1,1,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3,3,3,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,1,3,"",6,1,1,1,1,1,1,2,2,2,2,2,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,2,2,2,2,3,1.79769313486232e+308,1,1,2,1,2,2,1,20,5,2,2,1,2,2,2,1.79769313486232e+308,"",1.79769313486232e+308,1,1,"",3,3,2,"",1,0
127,10702,1,7,"GBEDE DISTRICT",2,"ILUHAGBA, IJUNMU LGA",4,1.79769313486232e+308,5,5,"",1,49,3,2,"",5,12,12,3,1,2,0,0.0199999995529652,0.0333333313465118,1,"",1,1,1.79769313486232e+308,3,"",30000,5,5,2,2,2,2,2,1,1,2,2,2,2,2,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",5,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1.79769313486232e+308,1,15,4,2,1,2,2,1,1.79769313486232e+308,1,0,1,2,1,6,1,2,0,2,1,1,2,1,1,2,"",1.79769313486232e+308,5,5,"",3,3,2,"",1,7
128,10810,1,8,"AIYEDE OPA/OLLE",10,"OKE OFFIN",1,1.79769313486232e+308,3,3,"",1,39,3,2,"",6,6,2,1,1,2,2,0.100000001490116,0.16666667163372,3,"",1,1,1.79769313486232e+308,3,"",10600,6,10,2,2,2,2,2,1,1,1,2,1,1,2,"",10,1,1,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",5,1,2,2,2,2,2,1,2,2,2,2,2,1,1,0,1,13,3,1,1,2,2,2,1.79769313486232e+308,1,0,4,2,2,1,1,4,0,1,1,2,2,2,1,2,"",2,1,1,"",3,3,2,"",1,6
129,10802,1,8,"AIYEDE OPA/OLLE",2,"PHC, OLLE KABBA/BUNMU",2,1.79769313486232e+308,5,5,"",2,48,3,1,"",2,7,14,4,1,2,0,0.100000001490116,0.16666667163372,1,"",1,1,1.79769313486232e+308,3,"",19600,6,6,2,2,2,2,2,1,1,1,2,1,2,2,"",2,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,3,"ONCHOERIASIS TRAININ",5,1,2,2,2,1,2,1,1,2,2,2,2,1,1,2,1,8,2,2,1,2,2,1,1.79769313486232e+308,1,0,0,3,2,2,1,4,0,2,2,1,2,1,1,2,"",1.79769313486232e+308,5,5,"",4,4,2,"",1,6
