"uniquekeyl","statelga","statecodel","lgacodel","addressl","questnuml","reasonl","lgacreated","electward","lgaclass","distance","travel","publicsch","privatesch","newprimary","repaired","newroads","upgraded","newwells","handpumps","toilets","publictoil","budget","budgetneed","submitted","totrev99","totrev00","fedacct99","fedacct00","stacct99","stacct00","intrev99","intrev00","vatrev99","vatrev00","persexp99","persexp00","overexp99","overexp00","prevexp99","prevexp00","curcexp99","curcexp00","envsexp99","envsexp00","hcapexp99","hcapexp00","educationl","recstatus","revadd99","revadd00","hltexp99","hltexp00","prhlex99","prhlex00","prpers99","prpers00","prover99","prover00","prcap99","prcap00"
11,10011,1,11,"MOPAMURO LGA MOPA",1,1.79769313486232e+308,2,10,2,160,1.29999995231628,22,3,2,9,0,150,10,20,0,0,1,1,1,59637670.9,140498008.2,58958433.41,138834205.5,0,0,679237.49,1663802.67,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,7924813.63,19209126.36,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,205000,182184,5,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
12,10012,1,12,"OGORI MAGONGO LGA AKPAFA",1,5,2,10,2,72,1,17,5,5,5,1.79769313486232e+308,30,40,10,10,0,1,2,2,56345730,75125290,36857592,62359170,0,0,4044366,4663330,12102432,8359290,25100650,32562010,5900000,10200000,1.79769313486232e+308,1.79769313486232e+308,1371500,3273215,3024650,3024680,1665000,3000000,5,1,53004392,75381792,32665650,45762008,0.616281926631928,0.607069790363312,0.768411159515381,0.711551189422607,0.180617868900299,0.222892314195633,0.0509709753096104,0.065556563436985
13,10013,1,13,"OLAMABORO OKPO",1,1.79769313486232e+308,2,10,3,280,2.29999995231628,108,7,0,4,365,185,0,0,1,0,1,1,1,63288772.45,158491983.1,45505256.2,136714066.3,1.79769313486232e+308,1.79769313486232e+308,962929.2,1212026.06,16820587.05,20565891.77,13200795.32,25626714.36,1172933.4,3048429.1,241500.02,873049.13,406900,1313043.05,235920.17,580520,261795.28,488770,3,1,1.79769313486232e+308,1.79769313486232e+308,14635524,29163914,1.79769313486232e+308,1.79769313486232e+308,0.90196943283081,0.878713130950928,0.0801429077982902,0.104527436196804,0.0178876593708992,0.0167594105005264
14,10014,1,14,"OMALA LGA HQ ABEJUKOLO",1,1.79769313486232e+308,2,11,3,164,2,84,10,16,0,0,147,0,13,8,0,1,1,1,93615243.01,215582756.1,76572437.56,202210580.1,0,0,591956.79,551982.39,16450848.66,12820193.59,5562300,15119690,1.79769313486232e+308,1.79769313486232e+308,5695941,8954342.8,3424041,4332000,2005051,2470000,2984500,5304020,4,1,93615240,215582752,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
15,10015,1,15,"YAGBA WEST HQ ODOERE",1,1.79769313486232e+308,2,14,2,153,2,5,42,0,0,0,155,1,9,0,0,1,2,2,51698030.01,142716912.5,37440079.29,123399351.4,0,0,288956.17,963585.94,13968994.55,18353975.21,17734151.86,34205799.52,215676,3239691,140000,500000,80000,410000,160000,770800,240000,540000,4,1,51698032,142716912,18189828,37985492,0.351847589015961,0.26615971326828,0.974948823451996,0.900496423244476,0.0118569564074278,0.0852875858545303,0.0131941875442863,0.0142159536480904
16,20001,2,1,"AGEGE/OGBA RD",1,1.79769313486232e+308,2,11,2,5,0.5,50,1.79769313486232e+308,0,1.79769313486232e+308,5,2,16,0,0,0,1,2,2,298889262.3,583135036.6,135161514.2,388020731.3,19454230,25237920,24407305.01,25087833.01,119866213.1,144788552.3,30996200.73,48252500.57,5065992,3919348,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,3446492,7212626,1402700,5374404,4,1,298889248,583135040,37464892,57546252,0.125347077846527,0.0986842662096024,0.827339947223663,0.838499426841736,0.13521970808506,0.0681077912449837,0.0374403856694698,0.0933927744626999
17,20002,2,2,"AJEGUNLE AREA",1,1.79769313486232e+308,2,11,2,15,0.400000005960464,73,143,0,10,5,2,0,0,0,0,1,2,2,363889539,646159983.4,182556426,448708161.5,25487280,19646445,29601486.99,27332452.91,130192622,144634088.9,22275324,25717416,15281883,16458106,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,832200,5965360,3,1,367837824,640321152,38389408,48140880,0.104365035891533,0.0751824006438255,0.58024662733078,0.534211575984955,0.398075491189957,0.341873794794083,0.0216778554022312,0.123914644122124
18,20003,2,3,"IKOTUN",1,1.79769313486232e+308,2,11,2,8,0.400000005960464,39,240,1,1.79769313486232e+308,5,20,36,6,0,3,1,2,2,352711377.6,650738863.7,180118514.9,462814645.3,24295985,26073740,26550810.93,28260873.46,121746066.8,133589584.9,30612640,42590050,4425116,2938045,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1886983,11527715,5,1,352711392,650738816,36924740,57055808,0.104688256978989,0.0876785069704056,0.82905501127243,0.746463000774384,0.119841493666172,0.0514942333102226,0.051103487610817,0.202042803168297
19,20004,2,4,"APAPA HQ, APAPA",1,1.79769313486232e+308,1,10,2,27,1,24,1.79769313486232e+308,0,10,7,2,3,0,0,1,1,2,2,319984952,507905730,136061939,243443592,15041005,18428160,59454407,56990596,98050162,189043383,25450420,53905730,5087820,6742260,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,12043050,7040386,2,1,308607520,507905728,42581288,67688376,0.137978777289391,0.133269563317299,0.597690224647522,0.796380877494812,0.119484879076481,0.0996073558926582,0.2828249335289,0.104011744260788
20,20005,2,5,"LOCAL GOVT. HQ",1,1.79769313486232e+308,2,11,3,60,1.29999995231628,50,10,0,17,0,10,72,15,10,3,1,2,2,165474678,580104913,64746009,363741706,11203920,18673200,8144612,18037645,81380137,179652362,11531545,1.79769313486232e+308,2501156,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,773500,2390500,3,1,165474672,580104896,14806201,1.79769313486232e+308,0.0894771441817284,1.79769313486232e+308,0.778832137584686,1.79769313486232e+308,0.168926253914833,1.79769313486232e+308,0.0522416234016418,1.79769313486232e+308
